pl_name,score
TOI-700 d,100.0
Teegarden's Star b,100.0
TOI-700 e,99.46666666666667
Kepler-438 b,96.00000000000001
L 98-59 f,95.39999999999999
Kepler-1649 c,92.0
Kepler-1652 b,91.575
Ross 128 b,91.03333333333333
Kepler-452 b,90.225
TRAPPIST-1 e,88.05
Kepler-442 b,86.5
TRAPPIST-1 d,85.00000000000001
TOI-1266 d,83.76666666666667
Kepler-1410 b,83.25
Kepler-1544 b,83.25
Kepler-283 c,76.325
Proxima Cen b,75.28
Kepler-1512 b,74.66666666666667
Kepler-445 d,72.5
Kepler-296 f,71.925
Kepler-1649 b,71.5
Kepler-138 e,71.2
K2-18 b,70.0
Kepler-22 b,70.0
G 261-6 b,69.18333333333334
Kepler-440 b,68.89999999999999
Kepler-1126 c,68.5
Kepler-705 b,67.82000000000001
Kepler-1653 b,67.0
Kepler-296 e,66.63333333333334
Proxima Cen d,66.47999999999999
Kepler-186 e,65.10000000000001
TRAPPIST-1 f,63.849999999999994
Kepler-1701 b,63.416666666666664
Kepler-155 c,63.19999999999999
Kepler-1389 b,62.19
TOI-6002 b,62.07200000000002
Kepler-69 c,62.025
Kepler-560 b,62.025
Kepler-1229 b,59.92000000000001
TOI-2257 b,59.624
Teegarden's Star c,59.5
Kepler-289 e,59.199999999999996
K2-3 d,58.17333333333333
Kepler-1450 b,57.525000000000006
Kepler-61 b,56.01666666666667
Kepler-1455 b,55.95333333333333
Kepler-1540 b,55.25
TRAPPIST-1 c,55.15000000000001
Kepler-380 b,55.00000000000001
Kepler-1417 b,55.00000000000001
Kepler-1470 b,55.00000000000001
Kepler-1473 b,55.00000000000001
Kepler-367 c,55.00000000000001
Wolf 327 b,55.00000000000001
G 192-15 b,55.00000000000001
Kepler-1468 c,55.00000000000001
Kepler-1464 c,55.00000000000001
Kepler-1553 b,55.00000000000001
Kepler-1482 b,55.00000000000001
Kepler-1481 b,55.00000000000001
Kepler-1477 b,55.00000000000001
Kepler-1541 b,55.00000000000001
GJ 9827 c,55.00000000000001
GJ 3929 b,55.00000000000001
TOI-500 b,55.00000000000001
Kepler-1537 b,55.00000000000001
Kepler-1414 b,55.00000000000001
Kepler-1578 b,55.00000000000001
Kepler-969 c,55.00000000000001
Kepler-953 c,55.00000000000001
Kepler-1577 b,55.00000000000001
Kepler-1576 b,55.00000000000001
Kepler-1573 b,55.00000000000001
Kepler-1572 b,55.00000000000001
Kepler-1570 b,55.00000000000001
Kepler-1438 b,55.00000000000001
Kepler-1612 b,55.00000000000001
Kepler-1377 b,55.00000000000001
Kepler-1376 b,55.00000000000001
Kepler-1605 b,55.00000000000001
Kepler-1598 b,55.00000000000001
Kepler-1597 b,55.00000000000001
Kepler-1386 b,55.00000000000001
Kepler-908 b,55.00000000000001
Kepler-1399 b,55.00000000000001
Kepler-1398 c,55.00000000000001
Kepler-1390 b,55.00000000000001
Kepler-1595 b,55.00000000000001
Kepler-1594 b,55.00000000000001
Kepler-1590 b,55.00000000000001
Kepler-1646 b,55.00000000000001
Kepler-1331 b,55.00000000000001
Kepler-1328 b,55.00000000000001
Kepler-135 c,55.00000000000001
Kepler-1347 b,55.00000000000001
Kepler-163 b,55.00000000000001
Kepler-907 b,55.00000000000001
Kepler-889 b,55.00000000000001
Kepler-887 c,55.00000000000001
Kepler-884 b,55.00000000000001
Kepler-882 b,55.00000000000001
Kepler-1363 b,55.00000000000001
Kepler-1358 b,55.00000000000001
Kepler-1617 b,55.00000000000001
Kepler-1616 b,55.00000000000001
Kepler-1434 b,55.00000000000001
LTT 1445 A c,55.00000000000001
LTT 1445 A b,55.00000000000001
LP 791-18 d,55.00000000000001
LP 791-18 b,55.00000000000001
LHS 475 b,55.00000000000001
LHS 1815 b,55.00000000000001
LHS 1678 d,55.00000000000001
Kepler-1430 b,55.00000000000001
Kepler-1427 b,55.00000000000001
Kepler-1425 b,55.00000000000001
Kepler-169 c,55.00000000000001
Kepler-169 b,55.00000000000001
Kepler-1689 b,55.00000000000001
Kepler-1312 c,55.00000000000001
Kepler-1311 c,55.00000000000001
Kepler-1311 b,55.00000000000001
Kepler-132 e,55.00000000000001
Kepler-132 b,55.00000000000001
Kepler-167 d,55.00000000000001
Kepler-1669 d,55.00000000000001
Kepler-847 b,55.00000000000001
Kepler-826 b,55.00000000000001
Kepler-1650 b,55.00000000000001
Kepler-1288 b,55.00000000000001
Kepler-1285 b,55.00000000000001
Kepler-1284 b,55.00000000000001
Kepler-1698 b,55.00000000000001
Kepler-130 b,55.00000000000001
Kepler-1297 b,55.00000000000001
Kepler-1293 b,55.00000000000001
Kepler-1695 b,55.00000000000001
Kepler-1694 b,55.00000000000001
Kepler-1693 c,55.00000000000001
Kepler-81 d,55.00000000000001
Kepler-806 b,55.00000000000001
Kepler-804 c,55.00000000000001
Kepler-1692 b,55.00000000000001
Kepler-169 d,55.00000000000001
Kepler-185 b,55.00000000000001
Kepler-1240 b,55.00000000000001
Kepler-124 d,55.00000000000001
Kepler-1834 c,55.00000000000001
Kepler-1832 b,55.00000000000001
Kepler-1248 b,55.00000000000001
Kepler-1264 b,55.00000000000001
Kepler-1263 b,55.00000000000001
Kepler-1800 b,55.00000000000001
Kepler-1763 b,55.00000000000001
Kepler-775 b,55.00000000000001
Kepler-770 c,55.00000000000001
Kepler-763 b,55.00000000000001
Kepler-1278 b,55.00000000000001
Kepler-1276 b,55.00000000000001
Kepler-1735 b,55.00000000000001
Kepler-1199 b,55.00000000000001
Kepler-1197 b,55.00000000000001
Kepler-1869 b,55.00000000000001
