pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,sy_dist
Kepler-1265 b,Kepler-1265,0.0612,1.35,2.39,5.34,0.0,58.15,732.0,583.641
Kepler-1266 b,Kepler-1266,0.16431,2.58,7.18,2.3,0.0,10.313,489.0,849.312
Kepler-1266 c,Kepler-1266,0.0506,1.68023962,3.46,4.01,0.0,110.4,881.0,849.312
Kepler-1267 b,Kepler-1267,0.1057,3.01,9.32,1.88,0.0,86.469,774.0,1379.43
Kepler-1268 b,Kepler-1268,0.2383,2.03,4.78,3.14,0.0,40.652,627.0,1840.77
Kepler-1269 b,Kepler-1269,0.23611,1.63,3.29,4.17,0.0,69.004,657.0,1097.23
Kepler-127 b,Kepler-127,0.125,1.4,2.54,5.09,0.47,159.163,884.0,352.794
Kepler-127 c,Kepler-127,0.2,2.66,7.56,2.21,0.03,61.688,698.0,352.794
Kepler-127 d,Kepler-127,0.28,2.64,7.46,2.23,0.03,31.519,590.0,352.794
Kepler-1270 b,Kepler-1270,0.07045,3.32,11.0,1.65,0.0,1217.395,1598.0,1095.05
Kepler-1271 b,Kepler-1271,0.04233,1.48,2.79,4.73,0.0,975.181,1484.0,831.991
Kepler-1272 b,Kepler-1272,0.2705,2.37,6.21,2.56,0.0,34.433,542.0,1206.37
Kepler-1273 b,Kepler-1273,0.1857,2.49,6.76,2.41,0.0,14.877,573.0,1114.24
Kepler-1274 b,Kepler-1274,0.08161,1.42,2.6,4.99,0.0,975.81,1384.0,614.648
Kepler-1275 b,Kepler-1275,0.0488,1.48,2.79,4.73,0.0,822.484,1368.0,1153.98
Kepler-1276 b,Kepler-1276,0.10863,1.19,1.81,5.9,0.0,139.77,886.0,538.481
Kepler-1277 b,Kepler-1277,0.21857,1.6,3.19,4.28,0.0,12.11,496.0,557.193
Kepler-1278 b,Kepler-1278,0.04417,1.01,1.01,5.39,0.0,1314.67,1213.0,889.426
Kepler-1279 b,Kepler-1279,0.1785,1.75,3.71,3.8,0.0,190.851,738.0,1494.22
Kepler-128 b,Kepler-128,0.12545,1.421,3.79,7.222837,0.0,227.398,968.0,396.379
Kepler-128 c,Kepler-128,0.16517,1.521,3.38,5.237935,0.037,130.979,843.0,396.379
Kepler-1280 b,Kepler-1280,0.33982,1.87,4.16,3.5,0.0,35.293,757.0,1486.7
Kepler-1281 b,Kepler-1281,0.0415,1.64,3.33,4.15,0.0,375.55,1123.0,1090.0
Kepler-1282 b,Kepler-1282,0.0335,1.55,3.02,4.46,0.0,672.532,1418.0,1103.29
Kepler-1283 b,Kepler-1283,0.1062,1.91,4.31,3.4,0.0,80.34,764.0,2921.99
Kepler-1284 b,Kepler-1284,0.0143,1.21,1.92,5.96,0.0,2190.082,1703.0,882.324
Kepler-1285 b,Kepler-1285,0.12758,0.97,0.871,5.24,0.0,181.591,874.0,422.269
Kepler-1286 b,Kepler-1286,0.0991,2.15,5.27,2.91,0.0,151.77,888.0,1354.46
Kepler-1287 b,Kepler-1287,0.0976,1.54,2.99,4.5,0.0,78.156,796.0,1003.26
Kepler-1288 b,Kepler-1288,0.04135,1.12,1.46,5.71,0.0,1342.5,2017.0,814.078
Kepler-1289 b,Kepler-1289,0.0785,1.52,2.92,4.57,0.0,223.442,1113.0,1053.57
Kepler-129 b,Kepler-129,0.13,2.4,20.0,8.1,0.01,158.306,910.0,408.845
Kepler-129 c,Kepler-129,0.39,2.52,43.0,14.8,0.2,17.554,525.0,408.845
Kepler-1290 b,Kepler-1290,0.0557,1.42,2.6,4.99,0.0,443.221,1098.0,1593.7
Kepler-1291 b,Kepler-1291,0.0779,1.66,3.39,4.07,0.0,62.823,739.0,897.352
Kepler-1292 b,Kepler-1292,0.0443,1.82,3.97,3.62,0.0,521.101,1195.0,1493.43
Kepler-1293 b,Kepler-1293,0.06763,0.97,0.871,5.24,0.0,929.122,1183.0,1028.16
Kepler-1294 b,Kepler-1294,0.4684,3.19,10.3,1.74,0.0,12.362,401.0,1855.7
Kepler-1295 b,Kepler-1295,0.0464,1.55,3.02,4.46,0.0,279.941,1029.0,1174.46
Kepler-1296 b,Kepler-1296,0.0896,0.91,0.693,5.05,0.0,399.015,1285.0,1551.54
Kepler-1297 b,Kepler-1297,0.0283,0.97,0.871,5.24,0.0,2760.593,1790.0,1439.47
Kepler-1298 b,Kepler-1298,0.0814,1.31,2.27,5.55,0.0,1003.027,1373.0,544.163
Kepler-1299 b,Kepler-1299,0.1357,2.98,9.17,1.9,0.0,45.146,588.0,1404.94
Kepler-130 b,Kepler-130,0.079,1.02,1.04,5.39,0.15,221.731,982.0,316.663
Kepler-130 c,Kepler-130,0.178,2.9,8.75,1.97,0.0,46.011,683.0,316.663
Kepler-130 d,Kepler-130,0.377,1.64,3.33,4.15,0.8,9.834,451.0,316.663
Kepler-1300 b,Kepler-1300,0.16005,1.37,2.45,5.24,0.0,149.409,954.0,777.025
Kepler-1301 b,Kepler-1301,0.0815,1.4,2.54,5.09,0.0,76.139,734.0,854.28
Kepler-1302 b,Kepler-1302,0.0795,1.43,2.63,4.94,0.0,58.344,778.0,634.58
Kepler-1303 b,Kepler-1303,0.0751,1.42,2.6,4.99,0.0,182.375,891.0,897.783
Kepler-1304 b,Kepler-1304,0.1202,2.29,5.86,2.68,0.0,61.87,715.0,2176.08
Kepler-1305 b,Kepler-1305,0.1109,1.88,4.19,3.47,0.0,103.51,733.0,1575.23
Kepler-1306 b,Kepler-1306,0.123,1.91,4.31,3.4,0.0,52.146,678.0,1107.5
Kepler-1307 b,Kepler-1307,0.1369,2.47,6.66,2.43,0.0,41.185,768.0,1014.62
Kepler-1308 b,Kepler-1308,0.025,0.52,0.0933,3.65,0.0,58.108,662.0,112.705
Kepler-1309 b,Kepler-1309,0.1679,2.37,6.21,2.56,0.0,13.77,491.0,845.0
Kepler-131 b,Kepler-131,0.12789,2.41,16.13,6.0,0.0,66.122,718.0,228.678
Kepler-1310 b,Kepler-1310,0.01452,1.44,2.67,4.91,0.0,2830.91,1883.0,569.185
Kepler-1311 b,Kepler-1311,0.10082,1.24,2.07,5.97,0.0,296.92,1019.0,866.331
Kepler-1311 c,Kepler-1311,0.03753,1.22,1.98,5.99,0.0,2144.553,1671.0,866.331
Kepler-1311 d,Kepler-1311,0.68434,9.65837605,67.5,0.412,0.0,6.0,391.0,866.331
Kepler-1312 b,Kepler-1312,0.06053,2.1,5.06,3.0,0.0,219.117,978.0,299.104
Kepler-1312 c,Kepler-1312,0.02103,1.02732734,1.07,5.42,0.0,1770.2,1659.0,299.104
Kepler-1313 b,Kepler-1313,0.04619,1.76,3.75,3.78,0.0,227.198,1012.0,174.234
Kepler-1314 b,Kepler-1314,0.0504,5.11,22.9,0.943,0.0,36.05,625.0,141.98685057
Kepler-1315 b,Kepler-1315,0.01617,1.38,2.48,5.19,0.0,897.9,1541.0,480.869
Kepler-1315 c,Kepler-1315,0.0635,1.84398883,4.06,3.56,0.0,57.6,777.0,480.869
Kepler-1316 b,Kepler-1316,0.39765,3.54,12.3,1.52,0.0,10.714,446.0,800.871
Kepler-1317 b,Kepler-1317,0.0128,1.56,3.05,4.41,0.0,2413.261,1796.0,728.303
Kepler-1318 b,Kepler-1318,0.6085,3.11,9.85,1.8,0.0,0.492,202.0,475.248
Kepler-1319 b,Kepler-1319,0.0296,1.34,2.36,5.39,0.33,38.452,557.0,103.917
Kepler-132 b,Kepler-132,0.067,1.21,1.92,5.96,0.0,284.8,1082.0,349.549
Kepler-132 c,Kepler-132,0.068,1.28,2.18,5.71,0.0,271.0,1069.0,349.549
Kepler-132 d,Kepler-132,0.136,1.55,3.02,4.46,0.0,68.6,758.0,349.549
Kepler-132 e,Kepler-132,0.43927,1.18,1.76,5.89,0.0,6.1,414.0,349.549
Kepler-1320 b,Kepler-1320,0.0163,1.7,3.53,3.95,0.0,672.113,1389.0,647.424
Kepler-1321 b,Kepler-1321,0.0781,4.92,21.5,0.992,0.0,13.547,408.0,769.146
Kepler-1321 c,Kepler-1321,0.0267,2.4,6.35,2.52,0.0,115.909,697.0,769.146
Kepler-1321 d,Kepler-1321,0.0501,2.62843782,7.41,2.24,0.0,15.84,509.0,769.146
Kepler-1322 b,Kepler-1322,0.0183,1.61,3.22,4.24,0.0,2651.424,1666.0,1350.32
Kepler-1322 c,Kepler-1322,0.0652,2.15492527,5.29,2.9,0.0,144.06,883.0,1350.32
Kepler-1324 b,Kepler-1324,0.0466,1.51,2.89,4.61,0.0,98.414,895.0,481.667
Kepler-1325 b,Kepler-1325,0.2004,2.86,8.55,2.01,0.0,18.153,564.0,973.368
Kepler-1326 b,Kepler-1326,0.2743,4.18,16.3,1.23,0.0,47.84,938.0,698.326
Kepler-1327 b,Kepler-1327,0.11151,1.8,3.89,3.67,0.0,79.9,831.0,678.069
Kepler-1328 b,Kepler-1328,0.052,0.98,0.904,5.28,0.0,545.672,1214.0,813.543
Kepler-1329 b,Kepler-1329,0.0747,2.17,5.35,2.88,0.0,26.645,577.0,588.037
Kepler-133 b,Kepler-133,0.083,1.76,3.75,3.78,0.0,408.58,1041.0,653.6
Kepler-133 c,Kepler-133,0.204,2.84,8.45,2.03,0.0,67.161,663.0,653.6
Kepler-1330 b,Kepler-1330,0.0889,1.65,3.36,4.11,0.0,322.399,879.0,1720.48
Kepler-1331 b,Kepler-1331,0.0142,1.05,1.16,5.51,0.0,547.294,1244.0,319.197
Kepler-1332 b,Kepler-1332,0.09915,1.37,2.45,5.24,0.0,77.559,728.0,528.685
Kepler-1333 b,Kepler-1333,0.4382,2.81,8.3,2.06,0.0,3.298,428.0,932.446
Kepler-1334 b,Kepler-1334,0.1229,2.29,5.86,2.68,0.0,78.355,710.0,1223.04
Kepler-1335 b,Kepler-1335,0.0615,1.45,2.7,4.87,0.0,80.741,809.0,621.853
Kepler-1336 b,Kepler-1336,0.15845,1.98,4.58,3.24,0.0,103.72,793.0,1126.64
Kepler-1336 c,Kepler-1336,0.06272,1.71,3.57,3.92,0.0,662.713,1260.0,1126.64
Kepler-1337 b,Kepler-1337,0.1441,2.41,6.39,2.51,0.0,9.183,437.0,601.629
Kepler-1339 b,Kepler-1339,0.02356,0.71,0.285,4.38,0.0,3094.817,1642.0,371.049
Kepler-134 b,Kepler-134,0.06,2.0,4.66,3.2,0.0,301.367,1105.0,334.797
Kepler-134 c,Kepler-134,0.092,1.26,2.13,5.85,0.0,128.086,892.0,334.797
Kepler-1341 b,Kepler-1341,0.47267,2.99,9.22,1.9,0.0,1.141,241.0,476.957
Kepler-1342 b,Kepler-1342,0.0313,1.66,3.39,4.07,0.0,559.275,1283.0,890.724
Kepler-1343 b,Kepler-1343,0.0449,1.93,4.38,3.35,0.0,1021.904,1294.0,1756.71
Kepler-1344 b,Kepler-1344,0.05501,1.84,4.04,3.56,0.0,425.169,1219.0,853.959
Kepler-1345 b,Kepler-1345,0.26412,2.36,6.17,2.58,0.0,68.469,693.0,1355.02
Kepler-1346 b,Kepler-1346,0.044,1.58,3.12,4.35,0.0,545.575,1236.0,843.701
Kepler-1347 b,Kepler-1347,0.104,1.03,1.08,5.43,0.0,34.32,617.0,321.0
Kepler-1348 b,Kepler-1348,0.1834,1.94,4.42,3.33,0.0,49.665,636.0,1213.82
Kepler-1349 b,Kepler-1349,0.03421,0.7,0.271,4.34,0.0,1862.33,1668.0,276.323
Kepler-135 b,Kepler-135,0.067,1.81,3.93,3.64,0.0,496.678,1209.0,621.855
Kepler-135 c,Kepler-135,0.103,1.16,1.65,5.81,0.0,209.967,975.0,621.855
Kepler-1350 b,Kepler-1350,0.0413,2.52,6.9,2.37,0.0,27.176,535.0,340.691
Kepler-1350 c,Kepler-1350,0.0222,1.73,3.64,3.86,0.0,94.054,730.0,340.691
Kepler-1351 b,Kepler-1351,0.0156,0.65,0.208,4.16,0.0,421.965,1212.0,202.782
Kepler-1352 b,Kepler-1352,0.02883,0.89,0.64,4.99,0.0,1892.586,1701.0,670.829
Kepler-1353 b,Kepler-1353,0.153,1.8,3.89,3.67,0.0,10.767,491.0,593.384
Kepler-1354 b,Kepler-1354,0.3521,2.97,9.11,1.91,0.0,18.86,466.0,1119.45
Kepler-1355 b,Kepler-1355,0.0224,1.46,2.73,4.82,0.0,944.873,1448.0,911.269
Kepler-1356 b,Kepler-1356,0.0136,1.53,2.96,4.54,0.0,1966.057,1714.0,845.228
Kepler-1357 b,Kepler-1357,0.041,1.28,2.18,5.71,0.0,449.975,1177.0,1015.69
Kepler-1358 b,Kepler-1358,0.0656,1.12,1.46,5.71,0.0,98.834,827.0,546.998
Kepler-1359 b,Kepler-1359,0.26657,2.83,8.4,2.04,0.0,2.451,369.0,614.859
Kepler-136 b,Kepler-136,0.106,2.05,19.8,12.6,0.0,257.984,951.0,420.818
Kepler-136 c,Kepler-136,0.133,1.99,4.62,3.22,0.0,162.044,847.0,420.818
Kepler-1360 b,Kepler-1360,0.2866,3.4,11.5,1.61,0.0,82.564,933.0,1516.27
Kepler-1361 b,Kepler-1361,0.04304,0.86,0.566,4.89,0.0,186.069,1061.0,389.143
Kepler-1362 b,Kepler-1362,0.4626,2.6,7.27,2.27,0.0,1.011,248.0,731.298
Kepler-1363 b,Kepler-1363,0.0363,1.25,2.1,5.91,0.0,191.919,988.0,541.714
Kepler-1364 b,Kepler-1364,0.1284,2.15,5.27,2.91,0.0,672.06,1299.0,1056.9
Kepler-1365 b,Kepler-1365,0.07839,0.92,0.721,5.09,0.0,456.25,969.0,840.128
Kepler-1365 c,Kepler-1365,0.05701,0.8,0.437,4.69,0.0,864.037,1137.0,840.128
Kepler-1366 b,Kepler-1366,0.0273,1.43,2.63,4.94,0.0,134.981,783.0,465.826
Kepler-1367 b,Kepler-1367,0.0236,0.92,0.721,5.09,0.0,225.233,998.0,401.484
Kepler-1369 b,Kepler-1369,0.1741,2.69,7.7,2.17,0.0,37.158,667.0,1236.56
Kepler-137 b,Kepler-137,0.077,1.47,2.76,4.77,0.0,86.33,742.0,302.979
Kepler-137 c,Kepler-137,0.13,1.88,4.19,3.47,0.0,29.775,568.0,302.979
Kepler-1370 b,Kepler-1370,0.15763,1.84,4.04,3.56,0.0,132.587,770.0,1004.1
Kepler-1370 c,Kepler-1370,0.08084,1.27,2.15,5.77,0.0,503.722,1075.0,1004.1
Kepler-1371 b,Kepler-1371,0.04214,0.73,0.315,4.45,0.0,414.765,1015.0,515.334
Kepler-1371 c,Kepler-1371,0.02937,0.64,0.196,4.11,0.0,853.269,1216.0,515.334
Kepler-1372 b,Kepler-1372,0.024,1.27,2.15,5.77,0.0,2176.358,1655.0,1303.22
Kepler-1374 b,Kepler-1374,0.0918,2.29,5.86,2.68,0.0,59.789,737.0,1078.46
Kepler-1375 b,Kepler-1375,0.0471,1.74,3.68,3.84,0.0,2948.362,1543.0,1430.84
Kepler-1376 b,Kepler-1376,0.0598,1.05,1.16,5.51,0.0,278.902,1042.0,868.056
Kepler-1377 b,Kepler-1377,0.0153,1.25,2.1,5.91,0.0,2909.21,1873.0,1146.1
Kepler-1378 b,Kepler-1378,0.0885,2.2,5.48,2.83,0.0,14.867,525.0,506.434
Kepler-1379 b,Kepler-1379,0.0171,1.3,2.24,5.6,0.0,1600.049,1564.0,971.325
Kepler-138 b,Kepler-138,0.0753,0.64,0.07,1.7,0.02,9.9,452.0,66.8624
Kepler-138 c,Kepler-138,0.0913,1.51,2.3,3.6,0.017,6.8,410.0,66.8624
Kepler-138 d,Kepler-138,0.1288,1.51,2.1,3.6,0.01,3.4,345.0,66.8624
Kepler-138 e,Kepler-138,0.1803,0.797,0.43,4.67,0.112,1.73,292.0,66.8624
Kepler-1380 b,Kepler-1380,0.0917,1.43,2.63,4.94,0.0,90.1,786.0,2462.94
Kepler-1381 b,Kepler-1381,0.1728,2.25,5.69,2.74,0.0,29.701,649.0,1197.04
Kepler-1382 b,Kepler-1382,0.14023,1.88,4.19,3.47,0.0,198.471,959.0,738.261
Kepler-1383 b,Kepler-1383,0.11397,1.41,2.57,5.04,0.0,231.396,928.0,1027.21
Kepler-1384 b,Kepler-1384,0.1126,1.94,4.42,3.33,0.0,32.23,608.0,618.0
Kepler-1385 b,Kepler-1385,0.04262,0.85,0.543,4.86,0.0,1591.477,1423.0,688.795
Kepler-1386 b,Kepler-1386,0.068,1.24,2.07,5.97,0.0,196.533,1011.0,835.882
Kepler-1387 b,Kepler-1387,0.031,0.93,0.749,5.12,0.0,300.312,1123.0,455.358
Kepler-1388 b,Kepler-1388,0.0882,2.59,7.22,2.28,0.0,17.674,434.0,453.795
Kepler-1388 c,Kepler-1388,0.0519,2.26,5.73,2.73,0.0,51.044,566.0,453.795
Kepler-1388 d,Kepler-1388,0.126,2.86,8.55,2.01,0.0,8.66,363.0,453.795
Kepler-1388 e,Kepler-1388,0.1861,2.46,6.62,2.44,0.0,3.97,299.0,453.795
Kepler-1389 b,Kepler-1389,0.38249,1.77,3.78,3.75,0.0,1.871,300.0,497.093
Kepler-139 b,Kepler-139,0.127,2.94,7.0,2.169438,0.0,64.78,752.0,391.038
Kepler-139 c,Kepler-139,0.586,3.38,13.0,8.702677,0.0,3.023,350.0,391.038
Kepler-139 d,Kepler-139,0.0755533961,1.695,2.0,5.270467,0.0,172.3,972.0,391.038
Kepler-1390 b,Kepler-1390,0.0662,1.18,1.76,5.89,0.0,171.133,934.0,723.431
Kepler-1391 b,Kepler-1391,0.30045,1.68,3.46,4.01,0.0,33.335,513.0,1038.35
Kepler-1392 b,Kepler-1392,0.1189,1.96,4.5,3.28,0.0,61.42,714.0,1117.0
Kepler-1393 b,Kepler-1393,0.0337,0.8,0.437,4.69,0.0,574.37,1249.0,544.456
Kepler-1394 b,Kepler-1394,0.05474,1.39,2.51,5.14,0.0,2023.005,1947.0,640.409
Kepler-1395 b,Kepler-1395,0.04974,0.8,0.437,4.69,0.0,730.531,1311.0,492.894
Kepler-1396 b,Kepler-1396,0.1406,2.07,4.94,3.06,0.0,71.816,786.0,1066.46
Kepler-1397 b,Kepler-1397,0.25861,1.72,3.61,3.9,0.0,58.103,551.0,1198.25
Kepler-1398 b,Kepler-1398,0.03909,0.9,0.666,5.02,0.0,1249.488,1510.0,852.204
Kepler-1398 c,Kepler-1398,0.05087,1.03,1.08,5.43,0.0,738.183,1324.0,852.204
Kepler-1399 b,Kepler-1399,0.0276,1.25,2.1,5.91,0.0,1707.252,1610.0,1385.7
Kepler-140 b,Kepler-140,0.045,1.61,3.22,4.24,0.0,848.695,1301.0,583.859
Kepler-140 c,Kepler-140,0.414,1.8,3.89,3.67,0.0,9.957,428.0,583.859
Kepler-1400 b,Kepler-1400,0.0771,1.62,3.26,4.21,0.0,44.517,725.0,752.237
Kepler-1401 b,Kepler-1401,0.0975,1.68,3.46,4.01,0.0,100.91,808.0,1425.43
Kepler-1402 b,Kepler-1402,0.0322,0.76,0.363,4.54,0.0,2491.119,1789.0,1493.64
Kepler-1403 b,Kepler-1403,0.064,2.14,5.22,2.93,0.0,699.644,1238.0,2163.9
Kepler-1404 b,Kepler-1404,0.1143,2.01,4.7,3.18,0.0,39.001,596.0,962.183
Kepler-1405 b,Kepler-1405,0.1778,3.96,14.9,1.32,0.0,33.802,565.0,1530.3
Kepler-1406 b,Kepler-1406,0.0987,1.1,1.37,5.66,0.0,125.89,854.0,572.403
Kepler-1407 b,Kepler-1407,0.1502,2.25,5.69,2.74,0.0,78.667,826.0,1396.41
Kepler-1408 b,Kepler-1408,0.04218,0.89,0.64,4.99,0.0,1982.268,1616.0,535.048
Kepler-1409 b,Kepler-1409,0.01553,1.04,1.12,5.47,0.0,1552.133,1733.0,694.89
Kepler-141 b,Kepler-141,0.039,0.69,0.257,4.3,0.0,228.663,968.0,301.183
Kepler-141 c,Kepler-141,0.067,1.41,2.57,5.04,0.0,77.412,738.0,301.183
Kepler-1410 b,Kepler-1410,0.2543,1.78,3.82,3.72,0.0,1.06,290.0,367.0
Kepler-1411 b,Kepler-1411,0.4001,2.82,8.35,2.05,0.0,8.927,441.0,1660.48
Kepler-1412 b,Kepler-1412,0.04608,0.83,0.498,4.79,0.0,1087.781,1397.0,755.678
Kepler-1413 b,Kepler-1413,0.1066,1.82,3.97,3.62,0.0,42.825,661.0,1167.49
Kepler-1414 b,Kepler-1414,0.0426,1.23,2.04,6.02,0.0,209.464,1033.0,570.835
Kepler-1415 b,Kepler-1415,0.01416,1.29,2.21,5.66,0.0,2138.079,1846.0,1043.56
Kepler-1416 b,Kepler-1416,0.0257,0.88,0.615,4.96,0.0,2658.55,1870.0,949.59
Kepler-1417 b,Kepler-1417,0.14062,1.0,0.972,5.34,0.0,114.332,695.0,991.845
Kepler-1418 b,Kepler-1418,0.131,1.66,3.39,4.07,0.0,7.29,419.0,499.0
Kepler-1419 b,Kepler-1419,0.2391,2.86,8.55,2.01,0.0,21.243,510.0,1498.58
Kepler-142 b,Kepler-142,0.032,1.99,4.62,3.22,0.0,1247.908,1597.0,548.686
Kepler-142 c,Kepler-142,0.057,2.86,8.55,2.01,0.0,399.444,1201.0,548.686
Kepler-142 d,Kepler-142,0.242,2.16,5.31,2.9,0.0,22.072,582.0,548.686
Kepler-1420 b,Kepler-1420,0.0671,1.28,2.18,5.71,0.0,131.526,806.0,1054.37
Kepler-1421 b,Kepler-1421,0.07576,0.93,0.749,5.12,0.0,649.151,1209.0,783.401
Kepler-1422 b,Kepler-1422,0.1499,2.02,4.74,3.16,0.0,156.9,833.0,2465.84
Kepler-1423 b,Kepler-1423,0.1586,1.06,1.2,5.54,0.0,71.16,741.0,449.0
Kepler-1424 b,Kepler-1424,0.19068,1.16,1.65,5.81,0.0,58.6,629.0,661.421
Kepler-1425 b,Kepler-1425,0.11435,0.94,0.779,5.15,0.0,216.405,676.0,863.873
Kepler-1426 b,Kepler-1426,0.1187,1.56,3.05,4.41,0.0,95.22,797.0,1697.81
Kepler-1427 b,Kepler-1427,0.0197,1.1,1.37,5.66,0.0,2730.51,1844.0,1220.0
Kepler-1428 b,Kepler-1428,0.11051,1.64,3.33,4.15,0.0,817.579,1049.0,1530.32
Kepler-1429 b,Kepler-1429,0.055,1.29,2.21,5.66,0.0,551.156,1199.0,1214.09
Kepler-143 b,Kepler-143,0.127,2.41,6.39,2.51,0.0,118.334,838.0,809.467
Kepler-143 c,Kepler-143,0.181,3.37,11.3,1.62,0.0,58.7,703.0,809.467
Kepler-1430 b,Kepler-1430,0.0304,1.18,1.76,5.89,0.0,208.54,969.0,875.523
Kepler-1431 b,Kepler-1431,0.0648,1.47,2.76,4.77,0.0,469.819,1064.0,1623.24
Kepler-1432 b,Kepler-1432,0.1696,2.22,5.56,2.79,0.0,119.237,709.0,2171.87
Kepler-1433 b,Kepler-1433,0.0516,1.56,3.05,4.41,0.0,535.42,1226.0,1328.0
Kepler-1434 b,Kepler-1434,0.0917,1.11,1.41,5.67,0.0,925.289,1320.0,775.529
Kepler-1435 b,Kepler-1435,0.05456,0.86,0.566,4.89,0.0,893.886,1331.0,704.211
Kepler-1436 b,Kepler-1436,0.0907,1.31,2.27,5.55,0.0,772.079,1001.0,2530.62
Kepler-1437 b,Kepler-1437,0.0951,1.37,2.45,5.24,0.0,83.14,770.0,2101.69
Kepler-1438 b,Kepler-1438,0.0346,0.94,0.779,5.15,0.0,561.12,1490.0,1154.13
Kepler-1439 b,Kepler-1439,0.0594,1.46,2.73,4.82,0.0,9.081,420.0,225.393
Kepler-144 b,Kepler-144,0.066,1.33,2.33,5.44,0.0,426.719,1253.0,384.917
Kepler-144 c,Kepler-144,0.094,1.35,2.39,5.34,0.0,207.247,1046.0,384.917
Kepler-1440 b,Kepler-1440,0.23431,1.26,2.13,5.85,0.0,44.728,597.0,1115.35
Kepler-1441 b,Kepler-1441,0.2346,1.31,2.27,5.55,0.0,33.046,682.0,1110.48
Kepler-1442 b,Kepler-1442,0.40814,3.93,14.7,1.33,0.0,25.972,522.0,608.68
Kepler-1443 b,Kepler-1443,0.03783,0.97,0.871,5.24,0.0,2809.165,1602.0,593.646
Kepler-1444 b,Kepler-1444,0.20906,2.18,5.39,2.86,0.0,25.942,581.0,319.675
Kepler-1445 b,Kepler-1445,0.09587,0.96,0.84,5.22,0.0,248.548,987.0,506.357
Kepler-1446 b,Kepler-1446,0.01405,0.82,0.477,4.75,0.0,1213.333,1539.0,152.075
Kepler-1447 b,Kepler-1447,0.2836,2.9,8.75,1.97,0.0,10.349,522.0,890.296
Kepler-1448 b,Kepler-1448,0.1058,1.61,3.22,4.24,0.0,86.645,811.0,768.903
Kepler-1449 b,Kepler-1449,0.1176,1.68,3.46,4.01,0.0,271.885,867.0,2006.48
Kepler-145 b,Kepler-145,0.17308,2.65,37.1,13.0,0.43,154.705,873.0,566.85
Kepler-145 c,Kepler-145,0.26244,4.32,79.4,2.58,0.11,67.193,709.0,566.85
Kepler-1450 b,Kepler-1450,0.2401,1.71,3.57,3.92,0.0,3.078,308.0,505.829
Kepler-1451 b,Kepler-1451,0.2101,3.35,11.2,1.64,0.0,18.751,523.0,1058.72
Kepler-1452 b,Kepler-1452,0.25764,2.7,7.75,2.16,0.0,73.501,810.0,996.32
Kepler-1453 b,Kepler-1453,0.262,2.67,7.61,2.2,0.0,11.889,503.0,1196.04
Kepler-1454 b,Kepler-1454,0.2447,1.88,4.19,3.47,0.0,9.08,492.0,780.566
Kepler-1455 b,Kepler-1455,0.2149,2.16,5.31,2.9,0.0,1.533,298.0,357.621
Kepler-1456 b,Kepler-1456,0.1132,1.14,1.55,5.75,0.0,8.234,433.0,370.312
Kepler-1457 b,Kepler-1457,0.26391,1.99,4.62,3.22,0.0,23.468,478.0,889.885
Kepler-1458 b,Kepler-1458,0.24869,2.76,8.05,2.1,0.0,8.293,493.0,544.45
Kepler-1459 b,Kepler-1459,0.2829,1.36,2.42,5.29,0.0,3.511,349.0,455.479
Kepler-146 b,Kepler-146,0.2,3.71,13.3,1.43,0.0,32.89,639.0,716.797
Kepler-146 c,Kepler-146,0.364,3.13,9.96,1.78,0.0,9.887,473.0,716.797
Kepler-1460 b,Kepler-1460,0.1614,1.96,4.5,3.28,0.0,5.469,391.0,553.218
Kepler-1461 b,Kepler-1461,0.1715,2.03,4.78,3.14,0.0,8.88,451.0,679.106
Kepler-1462 b,Kepler-1462,0.3094,3.82,14.0,1.38,0.0,4.704,390.0,1017.82
Kepler-1463 b,Kepler-1463,0.1694,1.86,4.12,3.52,0.0,57.634,619.0,1687.47
Kepler-1464 b,Kepler-1464,0.20066,1.66,3.39,4.07,0.0,89.473,564.0,1151.73
Kepler-1464 c,Kepler-1464,0.06101,1.0,0.972,5.34,0.0,968.555,1023.0,1151.73
Kepler-1465 b,Kepler-1465,0.1939,1.77,3.78,3.75,0.0,6.246,668.0,359.497
Kepler-1466 b,Kepler-1466,0.17981,1.55,3.02,4.46,0.0,21.875,585.0,631.949
Kepler-1467 b,Kepler-1467,0.2388,3.3,10.9,1.67,0.0,7.917,411.0,852.888
Kepler-1468 b,Kepler-1468,0.0817,1.73,3.64,3.86,0.0,481.352,1093.0,1899.24
Kepler-1468 c,Kepler-1468,0.0466,1.15,1.6,5.78,0.0,1479.567,1448.0,1899.24
Kepler-1468 d,Kepler-1468,0.1456,3.33187146,11.1,1.65,0.0,52.77,819.0,1899.24
Kepler-1469 b,Kepler-1469,0.1466,2.8,8.25,2.07,0.0,24.901,551.0,1159.3
Kepler-147 b,Kepler-147,0.113,1.53,2.96,4.54,0.0,224.61,953.0,1042.02
Kepler-147 c,Kepler-147,0.216,2.43,6.48,2.48,0.0,61.287,689.0,1042.02
Kepler-1470 b,Kepler-1470,0.116,1.07,1.24,5.56,0.0,23.918,574.0,590.601
Kepler-1471 b,Kepler-1471,0.0453,1.41,2.57,5.04,0.0,314.233,1238.0,978.678
